City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Mount Gambier,AU,-37.8333,140.7667,42.71,100,40,8.05,scattered clouds
221,Kidal,ML,18.4411,1.4078,84.15,55,79,4.88,broken clouds
222,Maniitsoq,GL,65.4167,-52.9,47.19,90,100,5.88,overcast clouds
223,Havre-Saint-Pierre,CA,50.2334,-63.5986,58.42,85,100,10.94,overcast clouds
224,Cancun,MX,21.1743,-86.8466,87.73,70,40,11.5,scattered clouds
225,Matamoros,MX,25.5333,-103.25,90.5,28,70,11.16,broken clouds
226,Boende,CD,-0.2167,20.8667,77.29,62,99,2.19,overcast clouds
227,Alugan,PH,12.2188,125.4808,82.2,77,100,8.21,overcast clouds
228,Pangnirtung,CA,66.1451,-65.7125,45.86,87,93,4.7,overcast clouds
229,Lorengau,PG,-2.0226,147.2712,82.51,80,22,9.37,few clouds
230,Blackwater,AU,-23.5833,148.8833,67.28,55,2,7.18,clear sky
231,Biak,ID,-0.9131,122.8766,76.59,76,58,7.07,broken clouds
232,Beringovskiy,RU,63.05,179.3167,44.33,96,100,6.87,light rain
233,Saskylakh,RU,71.9167,114.0833,66.43,54,26,8.66,scattered clouds
234,Athabasca,CA,54.7169,-113.2854,88.75,24,100,12.28,moderate rain
235,Waterloo,CA,43.4668,-80.5164,74.44,69,56,8.28,broken clouds
236,Erdenet,MN,49.0333,104.0833,51.67,95,100,9.73,overcast clouds
237,Igarka,RU,67.4667,86.5833,61.07,72,99,7.92,overcast clouds
238,Deputatskiy,RU,69.3,139.9,47.03,51,12,6.53,few clouds
239,Sulphur,US,30.2366,-93.3774,82.38,96,1,3.44,mist
240,Valleyview,CA,55.0667,-117.2859,70.75,64,100,4.36,overcast clouds
241,Brae,GB,60.3964,-1.353,49.91,71,100,1.43,overcast clouds
242,Kyotera,UG,-0.6156,31.5175,61.52,79,13,3.42,few clouds
243,Xushan,CN,30.1764,121.2457,80.92,91,25,5.39,light rain
244,Muros,ES,42.7762,-9.0603,63.09,80,84,7.56,broken clouds
245,Znamenskoye,RU,57.1281,73.8282,54.84,98,24,5.19,few clouds
246,Suruc,TR,36.9761,38.425,86.2,23,19,8.32,few clouds
247,Chernyshevskiy,RU,63.0128,112.4714,65.55,45,45,8.43,scattered clouds
248,Esperance,AU,-33.8667,121.9,44.44,80,98,13.15,overcast clouds
249,Provideniya,RU,64.3833,-173.3,51.91,82,90,15.66,moderate rain
250,Cobija,BO,-11.0267,-68.7692,74.79,36,1,2.68,clear sky
251,Krasnoturansk,RU,54.3186,91.5639,61.59,83,40,4.68,scattered clouds
252,Naron,ES,43.5167,-8.1528,64.02,89,44,4.47,scattered clouds
253,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,69,9.6,broken clouds
254,Iquitos,PE,-3.7481,-73.2472,76.24,63,19,0.25,few clouds
255,Khasan,RU,42.4308,130.6434,74.95,94,100,5.7,overcast clouds
256,George Town,MY,5.4112,100.3354,80.89,87,20,2.3,few clouds
